frame_id,time_s,track_id,team,role,x,y
27,3.24,19,0,player,46.29,24.55
27,3.24,23,1,player,44.89,27.77
27,3.24,21,0,player,44.76,42.47
27,3.24,17,0,player,54.28,39.88
27,3.24,6,0,player,68.68,48.39
27,3.24,1,-1,referee,73.79,70.09
27,3.24,10,-1,referee,58.26,42.23
27,3.24,16,-1,referee,45.46,-1.05
28,3.36,22,1,player,52.09,33.19
28,3.36,12,0,player,51.04,61.73
28,3.36,25,1,player,72.25,51.33
28,3.36,9,0,player,45.24,33.35
28,3.36,2,1,player,64.0,64.36
28,3.36,14,1,player,62.41,44.2
28,3.36,3,1,player,74.43,33.13
28,3.36,15,0,player,45.8,51.09
28,3.36,21,0,player,44.59,42.57
28,3.36,18,0,player,73.25,31.49
28,3.36,19,0,player,46.27,24.39
28,3.36,5,1,player,70.9,38.61
28,3.36,8,1,player,44.53,38.35
28,3.36,4,1,player,48.72,58.72
28,3.36,7,0,player,55.07,29.14
28,3.36,23,1,player,45.1,28.01
28,3.36,6,0,player,68.57,48.85
28,3.36,24,1,player,63.52,19.36
28,3.36,17,0,player,54.15,39.64
28,3.36,1,-1,referee,73.76,69.65
28,3.36,10,-1,referee,57.86,42.09
28,3.36,16,-1,referee,45.45,-1.02
29,3.48,25,1,player,72.42,51.29
29,3.48,21,0,player,44.43,42.3
29,3.48,18,0,player,73.15,31.4
29,3.48,12,0,player,51.13,61.94
29,3.48,22,1,player,52.13,32.92
29,3.48,3,1,player,74.34,32.92
29,3.48,14,1,player,62.28,44.45
29,3.48,19,0,player,46.38,24.86
29,3.48,15,0,player,46.01,51.57
29,3.48,8,1,player,44.6,38.05
29,3.48,9,0,player,45.13,33.12
29,3.48,23,1,player,45.35,28.28
29,3.48,7,0,player,55.04,29.06
29,3.48,2,1,player,64.19,64.15
29,3.48,6,0,player,68.45,48.8
29,3.48,24,1,player,63.34,19.02
29,3.48,4,1,player,48.88,58.38
29,3.48,17,0,player,54.22,40.17
29,3.48,5,1,player,70.77,38.31
29,3.48,1,-1,referee,73.61,69.34
29,3.48,10,-1,referee,57.64,41.82
29,3.48,16,-1,referee,45.44,-1.37
30,3.6,25,1,player,70.64,51.88
30,3.6,4,1,player,47.45,60.1
30,3.6,2,1,player,62.79,65.0
30,3.6,8,1,player,41.69,40.35
30,3.6,12,0,player,49.82,63.68
30,3.6,6,0,player,66.17,50.71
30,3.6,9,0,player,41.73,35.34
30,3.6,23,1,player,41.87,30.61
30,3.6,15,0,player,44.19,54.45
30,3.6,7,0,player,51.87,30.83
30,3.6,18,0,player,70.45,32.11
30,3.6,14,1,player,59.84,46.32
30,3.6,3,1,player,71.65,33.46
30,3.6,22,1,player,48.9,34.66
30,3.6,19,0,player,42.51,26.5
30,3.6,21,0,player,41.48,44.58
30,3.6,5,1,player,68.16,39.29
30,3.6,24,1,player,59.59,19.59
30,3.6,17,0,player,51.41,42.12
30,3.6,1,-1,referee,71.97,69.51
30,3.6,10,-1,referee,54.87,43.52
30,3.6,16,-1,referee,39.93,-0.72
31,3.72,2,1,player,62.86,64.42
31,3.72,25,1,player,70.57,51.96
31,3.72,4,1,player,47.34,59.35
31,3.72,9,0,player,41.67,35.27
31,3.72,21,0,player,41.26,44.26
31,3.72,15,0,player,44.05,54.01
31,3.72,12,0,player,49.94,63.54
31,3.72,8,1,player,41.35,39.84
31,3.72,19,0,player,42.38,26.64
31,3.72,22,1,player,48.67,34.37
31,3.72,5,1,player,67.84,39.03
31,3.72,7,0,player,51.81,30.59
31,3.72,6,0,player,65.92,50.79
31,3.72,17,0,player,51.24,41.83
31,3.72,14,1,player,59.57,45.84
31,3.72,23,1,player,41.8,30.29
31,3.72,24,1,player,59.03,19.61
31,3.72,1,-1,referee,71.81,69.15
31,3.72,10,-1,referee,54.24,43.24
31,3.72,16,-1,referee,39.81,-0.86
32,3.84,25,1,player,70.5,51.83
32,3.84,4,1,player,47.19,58.71
32,3.84,22,1,player,48.44,33.86
32,3.84,2,1,player,62.93,64.15
32,3.84,17,0,player,51.0,41.57
32,3.84,5,1,player,67.6,38.65
32,3.84,21,0,player,40.97,44.0
32,3.84,24,1,player,58.63,18.77
32,3.84,15,0,player,44.12,54.28
32,3.84,8,1,player,41.09,39.45
32,3.84,18,0,player,70.92,32.68
32,3.84,19,0,player,42.1,25.91
32,3.84,12,0,player,50.09,63.58
32,3.84,9,0,player,41.39,35.09
32,3.84,14,1,player,59.34,46.06
32,3.84,23,1,player,41.9,30.77
32,3.84,7,0,player,51.67,30.3
32,3.84,10,-1,referee,53.84,42.6
32,3.84,1,-1,referee,71.6,68.81
32,3.84,16,-1,referee,39.4,-1.28
33,3.96,25,1,player,70.47,51.4
33,3.96,2,1,player,62.88,64.37
33,3.96,4,1,player,46.81,57.92
33,3.96,12,0,player,50.24,63.16
33,3.96,18,0,player,70.59,32.23
33,3.96,21,0,player,40.65,43.51
33,3.96,15,0,player,44.31,54.71
33,3.96,8,1,player,40.86,39.12
33,3.96,9,0,player,40.98,34.64
33,3.96,24,1,player,58.15,18.59
33,3.96,22,1,player,48.11,33.63
33,3.96,14,1,player,59.12,46.0
33,3.96,23,1,player,41.83,30.42
33,3.96,19,0,player,41.93,25.89
33,3.96,17,0,player,50.68,41.41
33,3.96,7,0,player,51.53,29.99
33,3.96,1,-1,referee,71.44,68.4
33,3.96,10,-1,referee,53.46,42.47
33,3.96,16,-1,referee,39.02,-2.08
34,4.08,12,0,player,50.37,63.05
34,4.08,25,1,player,70.41,51.26
34,4.08,4,1,player,46.59,57.42
34,4.08,18,0,player,70.4,31.69
34,4.08,2,1,player,62.88,64.23
34,4.08,15,0,player,44.11,54.2
34,4.08,9,0,player,40.7,34.19
34,4.08,14,1,player,58.79,45.61
34,4.08,22,1,player,47.59,33.04
34,4.08,21,0,player,40.31,43.22
34,4.08,17,0,player,50.3,40.83
34,4.08,8,1,player,40.4,38.6
34,4.08,23,1,player,41.69,30.08
34,4.08,24,1,player,57.57,18.14
34,4.08,19,0,player,41.6,25.13
34,4.08,7,0,player,51.33,29.51
34,4.08,1,-1,referee,71.28,68.06
34,4.08,16,-1,referee,38.81,-1.96
34,4.08,10,-1,referee,52.99,42.23
35,4.2,2,1,player,62.72,63.67
35,4.2,25,1,player,70.27,51.23
35,4.2,15,0,player,44.17,54.52
35,4.2,4,1,player,46.48,57.0
35,4.2,22,1,player,47.31,32.5
35,4.2,8,1,player,40.13,38.27
35,4.2,12,0,player,50.63,62.88
35,4.2,24,1,player,57.09,17.15
35,4.2,14,1,player,58.54,45.66
35,4.2,17,0,player,50.07,40.65
35,4.2,9,0,player,40.27,33.8
35,4.2,7,0,player,51.18,29.09
35,4.2,21,0,player,40.15,43.05
35,4.2,19,0,player,41.44,25.06
35,4.2,23,1,player,41.66,30.27
35,4.2,1,-1,referee,71.12,67.63
35,4.2,10,-1,referee,52.3,41.7
35,4.2,16,-1,referee,38.48,-2.7
36,4.32,2,1,player,62.36,63.05
36,4.32,4,1,player,46.34,56.75
36,4.32,15,0,player,43.87,54.23
36,4.32,8,1,player,39.77,37.86
36,4.32,25,1,player,70.05,50.83
36,4.32,9,0,player,39.81,33.56
36,4.32,14,1,player,58.26,45.72
