frame_id,time_s,team,n,compactness_m,width_m,depth_m,line_height_m,control_pct,pressing_m
192,23.04,1,10,18.41,56.27,38.57,55.12,58.4,6.34
193,23.16,0,9,13.6,35.7,25.82,48.22,42.0,6.4
193,23.16,1,10,18.42,56.27,38.55,55.19,58.0,6.4
194,23.28,0,9,13.62,35.54,25.75,48.29,41.9,6.4
194,23.28,1,10,18.42,56.42,38.54,55.23,58.1,6.4
195,23.4,0,10,14.65,38.38,25.88,48.17,43.4,5.81
195,23.4,1,10,18.45,56.84,39.03,53.86,56.6,5.81
196,23.52,0,10,14.59,38.08,25.85,48.21,43.4,5.86
196,23.52,1,10,18.45,57.01,39.04,53.86,56.6,5.86
197,23.64,0,10,14.52,37.66,26.15,48.28,43.0,5.85
197,23.64,1,10,18.5,57.04,39.07,53.84,57.0,5.85
198,23.76,0,10,14.51,37.19,25.9,48.31,42.0,5.95
198,23.76,1,10,18.5,57.24,39.0,53.82,58.0,5.95
199,23.88,0,10,14.46,37.35,25.78,48.3,42.2,5.95
199,23.88,1,10,18.47,57.6,38.7,53.75,57.8,5.95
200,24.0,0,10,14.35,37.05,26.0,48.26,41.7,5.96
200,24.0,1,10,18.44,57.78,38.57,53.65,58.3,5.96
201,24.12,0,10,14.14,36.6,25.78,48.28,41.6,5.96
201,24.12,1,10,18.38,57.84,38.42,53.56,58.4,5.96
202,24.24,0,10,14.1,36.58,25.87,48.27,47.0,5.53
202,24.24,1,9,17.52,58.02,35.48,50.98,53.0,5.53
203,24.36,0,10,14.07,36.45,25.97,48.31,45.0,5.58
203,24.36,1,9,17.54,58.03,35.72,50.93,55.0,5.58
204,24.48,0,10,13.95,36.25,25.81,48.29,43.9,5.67
204,24.48,1,9,17.6,58.53,35.8,50.89,56.1,5.67
205,24.6,0,10,13.94,36.3,26.08,48.34,43.8,5.66
205,24.6,1,9,17.61,58.69,35.97,50.86,56.2,5.66
206,24.72,0,10,13.92,36.4,26.08,48.34,48.0,7.32
206,24.72,1,8,17.4,58.77,34.96,52.51,52.0,7.32
207,24.84,0,10,14.03,36.36,26.86,48.27,46.1,5.92
207,24.84,1,9,17.48,59.26,35.53,50.88,53.9,5.92
208,24.96,0,10,14.07,36.28,27.15,48.28,46.4,6.08
208,24.96,1,9,17.51,59.75,35.65,50.89,53.6,6.08
209,25.08,0,10,13.98,36.0,27.32,48.3,47.0,6.21
209,25.08,1,9,17.51,60.08,35.62,50.93,53.0,6.21
210,25.2,0,10,13.83,35.08,27.05,50.84,40.6,6.32
210,25.2,1,10,18.03,59.26,35.26,55.47,59.4,6.32
211,25.32,0,10,13.83,35.03,27.17,50.74,41.2,6.33
211,25.32,1,10,17.95,59.26,35.3,55.31,58.8,6.33
212,25.44,0,10,13.89,36.54,27.46,50.58,41.1,6.25
212,25.44,1,10,17.93,59.62,35.37,55.19,58.9,6.25
213,25.56,0,9,14.58,36.17,27.78,50.19,39.2,6.43
213,25.56,1,10,17.92,59.89,35.46,55.01,60.8,6.43
214,25.68,0,8,14.67,35.91,27.9,50.84,37.5,6.55
214,25.68,1,10,17.9,60.04,35.6,54.77,62.5,6.55
215,25.8,0,7,14.22,35.03,28.24,49.78,33.9,7.3
